id,latcoord,longcoord
110,48.353775,11.783430555556
111,48.353233333333,11.783525
111A,48.353288888889,11.783516666667
111B,48.353172222222,11.783536111111
112,48.3528,11.7836
112X,48.352794444444,11.783522222222
113A,48.352358333333,11.783675
113B,48.352313888889,11.783683333333
113X,48.352347222222,11.78365
115A,48.351344444444,11.783852777778
115B,48.351263888889,11.783866666667
116,48.350916666667,11.783925
117A,48.350602777778,11.783980555556
117B,48.350486111111,11784
118,48.35,11.784086111111
119,48.349513888889,11.784169444444
120,48.349036111111,11.784252777778
121,48.348669444444,11.784316666667
135,48.352625,11.780211111111
155,48.352583333333,11.779652777778
161,48.351152777778,11.7799
161Y,48.351094444444,11.779638888889
162,48.350725,11.779972222222
163,48.350238888889,11.780058333333
163Y,48.350188888889,11.779875
164,48.34975,11.780141666667
164Y,48.34975,11.780052777778
171,48.35735,11.775797222222
172,48.356922222222,11.775869444444
173,48.356494444444,11.775944444444
174,48.356066666667,11.776019444444
175,48.355583333333,11.776102777778
181,48.354947222222,11.776213888889
182,48.354577777778,11.776277777778
183,48.354147222222,11.776352777778
184,48.353661111111,11.776436111111
185,48.353175,11.776519444444
186,48.352688888889,11.776605555556
187,48.3522,11.776688888889
188,48.351772222222,11.776763888889
189,48.351402777778,11.776827777778
191,48.350875,11.776919444444
192,48.350447222222,11.776991666667
193,48.350019444444,11.777066666667
194,48.349591666667,11.777141666667
195,48.349163888889,11.777216666667
196,48.348686111111,11.777297222222
201,48.358888888889,11.791813888889
202A,48.358461111111,11.791888888889
202B,48.358380555556,11.791902777778
203,48.358116666667,11.79195
204A,48.357844444444,11.791997222222
204B,48.357755555556,11.792011111111
205A,48.357427777778,11.792066666667
205B,48.357352777778,11.792080555556
206,48.357083333333,11.792127777778
207A,48.356861111111,11.792166666667
207B,48.356741666667,11.792186111111
207X,48.356780555556,11.792333333333
208,48.356397222222,11.792247222222
209A,48.355980555556,11.792319444444
209B,48.355913888889,11.792330555556
210A,48.355561111111,11.792391666667
210B,48.355422222222,11.792413888889
211,48.355216666667,11.79245
212A,48.354944444444,11.792497222222
212B,48.354872222222,11.792511111111
213A,48.354530555556,11.792569444444
213B,48.354461111111,11.792580555556
214,48.354102777778,11.792644444444
215A,48.353505555556,11.792747222222
215B,48.353427777778,11.792761111111
216,48.353013888889,11.792830555556
217A,48.352672222222,11.792891666667
217B,48.352525,11.792916666667
218,48.352327777778,11.79295
